F,Ms11,Ms12,Ms21,Ms22,Fs11,Fs12,Fs21,Fs22
5.000 ,0.999,1.036E-4,0.085,0.978,-22.70  ,-96.54  ,82.32  ,-46.09  
10.00 ,0.975,0.001,1.186,0.913,-50.64  ,-121.1  ,57.83  ,-85.92  
15.00 ,0.766,0.008,6.200,0.754,-91.12  ,-168.2  ,10.49  ,-117.6  
20.00 ,0.306,0.017,13.839,0.585,-102.3  ,126.4  ,-55.15  ,-127.7  
25.00 ,0.400,0.021,17.253,0.566,-98.69  ,78.42  ,-103.5  ,-132.8  
30.00 ,0.453,0.023,18.775,0.560,-137.8  ,43.61  ,-138.6  ,-136.4  
35.00 ,0.456,0.023,18.954,0.595,179.2  ,15.66  ,-166.9  ,-139.7  
40.00 ,0.463,0.022,18.345,0.646,142.1  ,-6.614  ,170.5  ,-146.5  
45.00 ,0.475,0.022,17.672,0.680,113.9  ,-24.49  ,152.3  ,-156.2  
50.00 ,0.482,0.021,17.344,0.687,93.31  ,-39.68  ,136.7  ,-168.0  
55.00 ,0.476,0.021,17.514,0.663,78.12  ,-53.90  ,122.2  ,177.4  
60.00 ,0.452,0.022,18.193,0.601,67.35  ,-68.92  ,106.8  ,157.5  
65.00 ,0.411,0.023,19.149,0.494,62.21  ,-86.66  ,88.72  ,126.3  
70.00 ,0.383,0.024,19.522,0.395,66.16  ,-108.7  ,66.36  ,70.25  
75.00 ,0.436,0.022,17.941,0.481,73.20  ,-133.7  ,41.01  ,-539.4 
80.00 ,0.536,0.018,14.518,0.675,71.10  ,-156.6  ,17.71  ,-46.84  
85.00 ,0.610,0.013,10.973,0.815,64.25  ,-174.1  ,-118.4 ,-74.53  
90.00 ,0.653,0.010,8.224,0.892,57.40  ,173.5  ,-12.86  ,-92.29  
95.00 ,0.677,0.008,6.270,0.934,51.59  ,164.6  ,-22.07  ,-104.4  
100.0 ,0.690,0.006,4.891,0.957,46.78  ,158.1  ,-28.97  ,-113.2  
105.0 ,0.699,0.005,3.900,0.971,42.74  ,153.1  ,-34.33  ,-119.8  
110.0 ,0.704,0.004,3.171,0.979,39.29  ,149.1  ,-38.64  ,-125.1  
115.0 ,0.708,0.003,2.621,0.985,36.29  ,145.9  ,-42.19  ,-129.3  
120.0 ,0.711,0.003,2.197,0.989,33.64  ,143.3  ,-45.18  ,-132.8  
125.0 ,0.713,0.002,1.865,0.991,31.28  ,141.1  ,-47.75  ,-135.8  
130.0 ,0.715,0.002,1.599,0.993,29.15  ,139.2  ,-49.98  ,-138.4  
135.0 ,0.716,0.002,1.385,0.995,27.20  ,137.6  ,-51.95  ,-140.7  
140.0 ,0.717,0.001,1.208,0.996,25.42  ,136.1  ,-53.70  ,-142.6  
145.0 ,0.718,0.001,1.062,0.996,23.77  ,134.9  ,-55.27  ,-144.4  
150.0 ,0.719,0.001,0.940,0.997,22.25  ,133.8  ,-56.69  ,-146.0  
