Frequency(Hz);Return Loss(dB);Phase(deg);Rs;SWR;Xs;|Z|;Theta
1000000;0,00;-3,18;0,0;?;-1802,8;1802,8;-90,0
3960512;0,00;-5,48;0,0;?;-1044,2;1044,2;-90,0
6921024;0,00;-7,63;0,0;?;-749,4;749,4;-90,0
9881536;0,00;-9,69;0,0;?;-589,8;589,8;-90,0
12842048;0,00;-11,77;0,0;?;-485,0;485,0;-90,0
15802560;0,00;-13,83;0,0;?;-412,3;412,3;-90,0
18763072;0,00;-16,00;0,0;?;-355,7;355,7;-90,0
21723584;0,00;-18,05;0,0;?;-314,9;314,9;-90,0
24684096;0,00;-20,37;0,0;?;-278,3;278,3;-90,0
27644608;0,00;-22,35;0,0;?;-253,1;253,1;-90,0
30605120;-0,01;-24,57;0,4;981,05;-229,7;229,7;-89,9
33565632;-0,02;-26,84;1,2;794,25;-209,5;209,5;-89,7
36526144;-0,03;-29,03;1,3;614,93;-193,1;193,1;-89,6
39486656;-0,04;-31,22;1,7;417,71;-178,9;178,9;-89,5
42447168;-0,05;-33,55;1,7;357,86;-165,8;165,9;-89,4
45407680;-0,06;-35,83;1,8;286,81;-154,6;154,7;-89,3
48368192;-0,06;-38,05;1,7;281,34;-145,0;145,0;-89,3
51328704;-0,06;-40,34;1,3;314,75;-136,1;136,1;-89,4
54289216;-0,06;-42,63;1,4;269,51;-128,1;128,1;-89,4
57249728;-0,05;-44,94;1,0;350,93;-120,9;120,9;-89,5
60210240;-0,05;-47,17;0,9;342,06;-114,5;114,5;-89,5
63170752;-0,04;-49,51;0,7;431,36;-108,4;108,4;-89,7
66131264;-0,03;-51,77;0,5;567,59;-103,0;103,0;-89,7
69091776;-0,02;-53,95;0,2;150,46;-98,2;98,2;-89,9
72052288;0,00;-56,26;0,0;?;-93,5;93,5;-90,0
75012800;0,00;-58,44;0,0;?;-89,4;89,4;-90,0
77973312;0,00;-60,66;0,0;?;-85,5;85,5;-90,0
80933824;0,00;-62,86;0,0;?;-81,8;81,8;-90,0
83894336;0,00;-64,99;0,0;?;-78,5;78,5;-90,0
86854848;0,00;-67,17;0,0;?;-75,3;75,3;-90,0
89815360;0,00;-69,34;0,0;?;-72,3;72,3;-90,0
92775872;0,00;-71,48;0,0;?;-69,5;69,5;-90,0
95736384;0,00;-73,59;0,0;?;-66,9;66,9;-90,0
98696896;0,00;-75,63;0,0;?;-64,4;64,4;-90,0
101657408;0,00;-77,62;0,0;?;-62,2;62,2;-90,0
104617920;0,00;-79,69;0,0;?;-59,9;59,9;-90,0
107578432;0,00;-81,69;0,0;?;-57,8;57,8;-90,0
110538944;0,00;-83,63;0,0;?;-55,9;55,9;-90,0
113499456;0,00;-85,75;0,0;?;-53,9;53,9;-90,0
116459968;0,00;-87,86;0,0;?;-51,9;51,9;-90,0
119420480;0,00;-89,87;0,0;?;-50,1;50,1;-90,0
